gene ID,log2FC,p-value
CGI_10002879,4.506924278,0
CGI_10011447,5.76463625,0
CGI_10021170,4.079388431,4.6681E-302
CGI_10006224,4.609036221,7.6444E-302
CGI_10005824,4.445859648,1.5486E-294
CGI_10016615,5.703442218,1.3341E-269
CGI_10019718,4.394741357,5.9024E-269
CGI_10027111,4.387485717,4.2957E-255
CGI_10015342,3.69009008,1.252E-245
CGI_10006931,6.043875258,1.748E-244
CGI_10013924,3.670431702,7.1894E-221
CGI_10006756,5.271220816,1.3101E-211
CGI_10019612,2.651697277,2.4185E-207
CGI_10010438,4.363559494,1.5587E-192
CGI_10011889,4.460607039,6.4669E-192
CGI_10000502,4.385000681,9.3689E-185
CGI_10017089,4.47377172,6.8437E-182
CGI_10026006,3.981688342,7.4431E-176
CGI_10006153,4.265518205,7.8243E-176
CGI_10003301,3.077088401,6.5314E-165
CGI_10006476,2.841464255,3.2908E-161
CGI_10004319,4.232511413,6.4688E-154
CGI_10006117,3.707051871,5.1814E-148
CGI_10005873,3.705233853,3.3102E-146
CGI_10002015,3.915882875,1.6659E-144
CGI_10004710,4.456814045,1.6843E-140
CGI_10012135,4.168425114,4.1796E-139
CGI_10018396,2.994795804,1.3694E-136
CGI_10012106,2.96710496,3.0374E-136
CGI_10010046,3.492865664,5.3656E-135
CGI_10027453,3.178247666,2.2221E-133
CGI_10005452,2.229301846,2.7827E-132
CGI_10012998,3.682915206,8.2215E-132
CGI_10016992,2.67558656,5.096E-128
CGI_10005453,2.434851824,3.5414E-127
CGI_10005871,3.905237504,6.884E-127
CGI_10003183,4.104604102,8.6715E-127
CGI_10026719,3.345110517,1.9634E-126
CGI_10007364,2.578902706,5.1465E-126
CGI_10021893,2.590571773,1.398E-125
CGI_10012305,2.917516982,8.1404E-125
CGI_10014533,4.611760685,1.7799E-121
CGI_10005872,3.897163087,3.1473E-121
CGI_10002181,2.380859812,3.8422E-120
CGI_10022880,4.406869565,3.7276E-119
CGI_10014034,1.978999164,1.9789E-118
CGI_10006118,3.850681991,3.1256E-117
CGI_10024671,2.367102587,7.6132E-117
CGI_10019948,3.736383109,1.1155E-116
CGI_10021409,3.186427561,4.6678E-116
CGI_10022879,4.20620043,4.1305E-115
CGI_10027444,3.749663703,1.5226E-114
CGI_10011954,3.599139821,4.6136E-114
CGI_10027445,3.339415704,1.3431E-112
CGI_10024393,2.368644895,3.7614E-112
CGI_10009106,3.397603153,4.1946E-111
CGI_10007361,2.537799651,4.9811E-111
CGI_10019528,3.167482816,1.2839E-110
CGI_10000860,3.40383219,2.7798E-106
CGI_10020283,2.418942967,7.6917E-106
CGI_10005710,2.669458928,2.5079E-105
CGI_10005003,2.585284314,2.7683E-104
CGI_10014307,2.41436027,3.0111E-104
CGI_10006477,2.821108031,3.1132E-103
CGI_10019869,3.046070771,8.0201E-102
CGI_10002191,2.423295138,4.8899E-101
CGI_10006729,2.940918057,7.0025E-101
CGI_10028419,3.566648221,1.2939E-100
CGI_10019154,3.013986068,2.3351E-99
CGI_10001444,2.052643112,3.4583E-99
CGI_10003083,2.192463989,3.5073E-99
CGI_10016990,2.494795951,7.6578E-99
CGI_10024392,2.182301918,6.40678E-98
CGI_10010459,2.12199262,1.0126E-97
CGI_10027104,2.063487531,5.38949E-97
CGI_10026443,2.440211893,1.31918E-96
CGI_10022976,2.385188082,1.63031E-95
CGI_10005874,3.682742725,2.04934E-95
CGI_10010774,3.344619648,4.89393E-95
CGI_10019895,2.65034964,6.31188E-93
CGI_10016596,2.662622771,9.51991E-92
CGI_10005949,3.119233332,2.05175E-91
CGI_10006232,3.272544034,1.30453E-89
CGI_10010664,2.654900085,3.97853E-89
CGI_10003823,2.905891733,2.11386E-87
CGI_10001246,3.775679619,2.97006E-86
