oyster genome,poly(I:C) priming,Priming poly(I:C)/T0,,,,,,Challenge Poly(I:C)+OsHV-1/10DPP,,,,FSW control,Priming FSW/T0,,,,,,Challenge FSW+OsHV-1/10DPP,,,,annotation and putative function,,,Gene ontology
,,"0,5DPP",,1DPP,,10DPP,,"0,5DPC",,1DPC,,,"0,5DPP",,1DPP,,10DPP,,"0,5DPC",,1DPC,,NCBI,immune-related function,,
ID,pattern,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,pattern,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,log2FC,RPKM,BestBlastHit,antimicrobial activity,pathways,GO terms
CGI_10018739,challenge specific,0,555.6026402,0,528.6502978,0,1237.340245,-1.594972023,354.2811229,0,839.854947,recall opposite,0,432.8247853,0,580.5204583,1.325138392,2150.069286,-1.529976147,568.8963796,-1.631423979,640.4499736,kynurenine formamidase-like [Biomphalaria glabrata],other,other,F:arylformamidase activity; P:tryptophan catabolic process to kynurenine; C:integral component of membrane
CGI_10006287,challenge specific,0,976.4024606,0,842.428927,0,871.591294,1.378567114,3007.58776,0,1979.867373,recall opposite,0,1146.489742,0,874.6574896,-4.317548654,47.56207232,4.365639168,1506.063188,4.830231844,2751.239081,Cytochrome P450 1A1,V/B,other,"F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:heme binding"
CGI_10020345,challenge specific,0,688.5018281,0,601.7993621,0,737.4478562,0,858.9213745,0.344213442,953.029698,recall opposite,0,688.0722696,0,660.3413369,-0.308520573,613.0802096,0.441373639,801.626711,0.488943302,807.3554753,Tolloid 1,V/B,Toll/NF-kB pathway,F:zinc ion binding; F:calcium ion binding; P:proteolysis; F:metalloendopeptidase activity
CGI_10020339,challenge specific,0,576.6359794,0,629.5193595,0,676.5545416,0.444810066,902.1910768,0.342280775,875.4279327,recall opposite,-0.165146494,567.8327239,0,567.4494742,0,667.3182112,0.356538106,819.1892961,0.478362868,872.5505818,Growth factor receptor-bound 2,other,signaling,F:protein domain specific binding; P:signal transduction; C:protein complex; F:receptor binding; P:regulation of signal transduction; C:plasma membrane; P:positive regulation of cellular process; C:cytoplasm; C:nuclear lumen; C:vesicle; P:developmental process; P:regulation of cellular metabolic process; F:enzyme binding
CGI_10009278,challenge specific,0,637.9669622,0,618.0159801,0,533.3249813,0,464.9070997,-0.32435016,421.3471865,sustained,0,595.1698702,0,615.530685,-0.706616868,366.7871514,0,342.4450901,0,393.6487209,Nuclear pore complex partial,other,other,P:nuclear pore organization; P:NLS-bearing protein import into nucleus; F:structural constituent of nuclear pore; F:nucleocytoplasmic transporter activity; C:nuclear pore central transport channel; P:protein targeting to nuclear inner membrane
CGI_10014683,challenge specific,0,453.2403457,0,439.5011062,0,457.9310529,0,332.1075253,-0.393537494,343.8039532,sustained,0,400.0748296,0,475.9522485,-0.447664158,343.6699336,0,263.1786248,0,279.0405234,universal stress A [Crassostrea gigas],V/B,other,P:response to stress
CGI_10004165,challenge specific,0,592.1639173,0,494.2280627,0,380.6596455,0.654044322,618.8915008,0,413.1038071,sustained,0,438.7091047,0,568.2500671,-2.09817378,114.6025483,0,198.2162267,1.613245012,360.2406263,Stress-induced 1,other,other,0
CGI_10022749,challenge specific,0,293.5003073,0,226.6521829,0,319.432046,-0.538433146,204.3039141,0,279.8499697,sustained,0,334.8514873,0,338.8583169,0.569705188,470.4691497,-0.460419392,319.4298961,-0.509298818,305.9487277,glutathione S-transferase 1-like,V/B,other,P:metabolic process; F:glutathione transferase activity; F:transferase activity
CGI_10009030,challenge specific,0,299.1233226,0,250.5997595,0,290.4727163,-0.53159853,187.6901141,0,286.5207745,recall opposite,0.568898637,368.6682807,0.701439349,401.0611927,0.553188592,389.3336805,-0.844814186,201.5035492,-1.63314253,111.6116662,7-dehydrocholesterol reductase [Coxiella burnetii],other,other,"F:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; F:sterol delta7 reductase activity; C:integral component of endoplasmic reticulum membrane; P:brassinosteroid biosynthetic process; P:oxidation-reduction process; P:sterol biosynthetic process"
CGI_10003650,challenge specific,0,330.5401231,0,276.2403022,0,264.9607002,0.786149184,463.2303498,0.477200384,386.9410567,recall opposite,0,248.904381,0,239.6174077,-0.694787928,170.0646081,1.032327087,350.4369728,1.410349392,436.9372898,substance-K receptor-like [Crassostrea gigas],other,other,F:G-protein coupled receptor activity; P:G-protein coupled receptor signaling pathway; C:integral component of membrane
CGI_10004932,challenge specific,0,84.7142623,0,71.64501426,0,85.49105344,0,54.78094726,-0.266908093,71.06870159,sustained,0,76.04739718,-0.409584375,61.58842383,-0.478704964,64.05567447,0,59.5689031,0,59.96462715,probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1 [Octopus bimaculoides],virus,other,P:protein deubiquitination; C:cytoplasm; P:cell migration; F:thiol-dependent ubiquitinyl hydrolase activity; P:ubiquitin-dependent protein catabolic process
CGI_10005326,challenge specific,0,131.8397033,0,100.8523965,0,81.46637906,0,123.1763466,0.554084748,130.5132542,priming specific,0,128.620609,-0.673369048,60.53209932,0,98.32334315,0,89.5008401,0,86.09903905,Collectin-12 [Crassostrea gigas],V/B,signaling,C:membrane; C:integral component of membrane
CGI_10012017,challenge specific,0,53.99620448,0,49.68135707,0,62.03717061,0,70.37797278,0.313153731,78.46819971,recall opposite,-0.246032683,49.1804081,-0.388820699,44.05274936,-0.25559243,52.72903826,0.856184977,92.49525313,1.229606634,116.6738457,"cGMP-inhibited 3 ,5 -cyclic phosphodiesterase A-like isoform X2",other,other,"F:metal ion binding; P:signal transduction; P:metabolic process; F:3',5'-cyclic-nucleotide phosphodiesterase activity"
CGI_10027172,challenge specific,0,33.85281037,0,32.42654215,0,37.64143374,-0.463220226,25.66039577,0,30.40960599,recall opposite,0,34.82893512,0,36.02966007,0.611629793,52.78643598,-0.692980816,30.72781247,-0.697682412,30.22806186,dynein assembly factor with WDR repeat domains 1,other,other,P:heart development; P:cilium-dependent cell motility; P:axonemal dynein complex assembly; C:cilium; C:integral component of membrane; P:determination of left/right symmetry
CGI_10008719,challenge specific,0,19.15688333,0,24.79393393,0,37.50270513,0.618059826,58.57510405,0,47.85173889,recall opposite,-0.548555995,16.67404697,0,17.4124163,0,20.96549884,0.789413609,36.47520544,1.079569591,42.88072183,heat shock 70 kDa 12A-like,V/B,other,C:membrane; C:integral component of membrane
CGI_10018706,challenge specific,0,17.75565959,0,13.67015247,0,19.43440817,0.938352611,41.93585653,0,33.94895794,not regulated,0,17.418655,0,20.46408546,0,40.02274004,0,52.73320735,0,59.40136295,GTP-binding RAD [Crassostrea gigas],V/B,signaling,F:GTP binding; P:small GTPase mediated signal transduction; C:membrane; P:protein transport; C:intracellular
CGI_10024882,challenge specific,0,14.5796806,0,12.74211639,0,17.43302051,-0.664609188,10.20060912,0,14.10054874,recall opposite,0,14.29547223,0,16.22449403,0.60539401,25.62534214,-0.915431263,12.57943503,-1.074880436,11.11682508,Sodium-dependent serotonin transporter,bacteria,other,P:neurotransmitter transport; F:neurotransmitter:sodium symporter activity; P:transmembrane transport; C:integral component of membrane
CGI_10020135,challenge specific,0,18.28464514,0,13.26335885,0,16.52479428,-0.6854035,9.433941223,-0.809765022,8.67388426,recall,0,16.90870047,-0.566454297,14.99540896,0,28.40758088,-0.775049178,15.31914911,-0.806684384,14.90799164,0,V/B,other,0
CGI_10027555,challenge specific,0,12.61588624,0,13.77390658,0,15.24020415,0,14.9453135,-0.686436821,8.562600081,recall opposite,0,10.26026061,-0.486589664,8.66863002,-0.547405689,9.163728359,0,9.822223456,0.801506376,15.38784483,C-type mannose receptor 2,bacteria,signaling,P:metabolic process; F:transferase activity
CGI_10007979,challenge specific,0,15.06110033,0,15.68703868,0,15.18510632,-0.869725647,7.600050564,-0.371469497,11.59230486,challenge specific,0,14.05578149,0,15.03220396,0,22.74842064,-0.814538718,12.17155155,-0.991158188,10.5601494,Collagen alpha-3(VI) chain,V/B,signaling,F:chitin binding; C:collagen trimer; F:calcium ion binding; P:chitin metabolic process; C:integral component of membrane; P:homophilic cell adhesion via plasma membrane adhesion molecules; C:extracellular region; F:carbohydrate binding
CGI_10011806,challenge specific,0,11.28731517,0,10.32285029,0,11.57324005,-0.742832122,6.129679844,0,9.539529014,recall opposite,0,13.82888839,0.366928864,14.70743109,0.476689638,17.21455903,-0.922770475,8.255924532,-1.839385404,4.135856568,tyrosine- kinase transmembrane receptor Ror-like,virus,JAK/STAT,F:ATP binding; P:peptidyl-tyrosine phosphorylation; F:transmembrane receptor protein tyrosine kinase activity; C:integral component of membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway
