tx	padj	cluster	direction	prot	product	ko	Uniprot_ID	Human_ortholog	Ortholog_names	7	8	9	10	11	12
XM_005088768.2	0.68981656144532	NA	NA	XP_005088825.1	acetyl-coenzyme A transporter 1-like	K03372	O00400	SLC33A1 ACATN AT1	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	1.86226884163759	1.84879662477849	1.45486567701936	2.16215235711044	1.92001224744106	2.14979548715757
XM_005088772.2	0.563566077061562	NA	NA	NA	NA	NA	NA	NA	NA	3.82687185318216	4.17414345534447	4.15599400644844	3.4307550452484	2.84388571260351	3.16213020374421
XR_001184975.1	0.000898941970574388	B1	UP	NA	NA	NA	NA	NA	NA	1.71641773179164	1.590122314253	2.00588157612575	1.88588247271979	2.20393078306931	2.77523270529395
XM_005088773.2	0.225770229386256	NA	NA	XP_005088830.1	LIM domain-containing protein WLIM2b-like		A0A3B3IRI5	CSRP3	Cysteine and glycine-rich protein 3	8.5913219681771	8.65506781462051	8.15031745755947	8.77921394620808	8.75367596463798	8.74622678814857
XM_005088776.2	0.011571733736907	NA	NA	XP_005088833.1	6-phosphogluconolactonase-like	K01057	O95336	PGLS	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	5.0851323692611	5.00620102349949	4.91395327400592	5.19899895199087	5.30621036424646	4.8434435554234
XM_005088778.2	0.62374347656728	NA	NA	XP_005088835.1	SNARE-associated protein Snapin-like	K20002	O95295	SNAPIN BLOC1S7 SNAP25BP SNAPAP	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	5.03898240229981	5.02802326325111	5.04504436839373	5.11790578610689	5.03825679477625	5.26706394636585
XM_005088780.2	0.000204448671860109	B3	DOWN	XP_005088837.1	neural proliferation differentiation and control protein 1-like		Q9NQX5	NPDC1	Neural proliferation differentiation and control protein 1 (NPDC-1)	7.46183932532678	7.6770671239846	7.88526476738272	7.17302281735441	7.32588970439352	7.21758504275829
XM_005088782.2	0.0197884814386634	NA	NA	XP_005088839.1	parafibromin-like	K15175	Q6P1J9	CDC73 C1orf28 HRPT2	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	4.89288167831092	4.84168685122057	4.62376691560325	4.9839045020562	4.95642781873008	5.00179798006166
XM_005088784.1	0.125136258134479	NA	NA	XP_005088841.1	protein Dr1-like isoform X1	K21751	Q01658	DR1	Protein Dr1 (Down-regulator of transcription 1) (Negative cofactor 2-beta) (NC2-beta) (TATA-binding protein-associated phosphoprotein)	4.01092508201788	3.85701249885226	3.63779783261961	3.9322056788762	4.0500716485065	3.86827163570176
XM_013090293.1	0.150467010602375	NA	NA	XP_012945747.1	FK506-binding protein 15-like	K17478	X6RKW4	FKBP15	Peptidylprolyl isomerase (EC 5.2.1.8) (Fragment)	1.77358542625642	1.5941531097326	1.73408830768717	1.87124089773489	1.78020409128852	1.98309945250997
