tx	padj	cluster	direction	prot	product	ko	Uniprot_ID	Human_ortholog	Ortholog_names	6	7	8	9	10	11	12
XM_005088768.2	0.887675752371584	NA	NA	XP_005088825.1	acetyl-coenzyme A transporter 1-like	K03372	O00400	SLC33A1 ACATN AT1	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	1.66733889990052	1.75235589777255	1.54778958405864	1.71176206959907	1.89355389109128	1.48989550543439	1.63232473340814
XM_005088772.2	0.10874974152719	NA	NA	NA	NA	NA	NA	NA	NA	5.34817938193244	4.4901398495221	4.75373900713307	4.28389359541565	5.43961971773001	5.42765605121484	4.70585749029408
XR_001184975.1	0.0291913090082796	NA	NA	NA	NA	NA	NA	NA	NA	1.95211304796067	2.16423829643911	2.54623281041519	2.26484543927762	2.48781915411339	2.74403888752536	2.65958419258987
XM_005088773.2	0.170346008626998	NA	NA	XP_005088830.1	LIM domain-containing protein WLIM2b-like		A0A3B3IRI5	CSRP3	Cysteine and glycine-rich protein 3	6.59106027115321	6.3067842851762	6.44938478510276	6.63499544044351	6.65477345915948	6.97742243017174	6.70761002238841
XM_005088776.2	0.0265316484136681	NA	NA	XP_005088833.1	6-phosphogluconolactonase-like	K01057	O95336	PGLS	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	4.68252583222744	5.18772210848791	5.25534103219742	5.10542046700533	5.04524123399434	4.91805124080103	4.79819313409083
XM_005088778.2	0.804810284338196	NA	NA	XP_005088835.1	SNARE-associated protein Snapin-like	K20002	O95295	SNAPIN BLOC1S7 SNAP25BP SNAPAP	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	5.27375671800671	5.29712427308721	5.11928720642763	5.12781266911191	5.20507331875849	5.13840623145631	5.33733492965666
XM_005088780.2	0.897781807729478	NA	NA	XP_005088837.1	neural proliferation differentiation and control protein 1-like		Q9NQX5	NPDC1	Neural proliferation differentiation and control protein 1 (NPDC-1)	7.94311372862648	8.061885796309	7.90205372185602	8.00975985065676	7.76343372916952	7.89610257307481	7.81004560202673
XM_005088782.2	0.0363131240694713	NA	NA	XP_005088839.1	parafibromin-like	K15175	Q6P1J9	CDC73 C1orf28 HRPT2	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	4.83496772749698	4.73544606875091	4.75232077551232	4.73709433344932	4.83208461467143	4.87134036218248	5.02294315268324
XM_005088784.1	0.927815975694026	NA	NA	XP_005088841.1	protein Dr1-like isoform X1	K21751	Q01658	DR1	Protein Dr1 (Down-regulator of transcription 1) (Negative cofactor 2-beta) (NC2-beta) (TATA-binding protein-associated phosphoprotein)	4.05892210316845	4.02349453421313	4.04147842788999	3.76428470833427	4.05902043916217	3.876530706774	3.94125372799765
XM_013090293.1	0.0488718688181527	NA	NA	XP_012945747.1	FK506-binding protein 15-like	K17478	X6RKW4	FKBP15	Peptidylprolyl isomerase (EC 5.2.1.8) (Fragment)	1.72396590098248	1.64604134376736	1.76597727271193	1.86068528495578	1.80518097700025	2.01660585032977	1.97252321963199
XM_005088786.2	0.721624430674694	NA	NA	XP_005088843.1	tetratricopeptide repeat protein 19, mitochondrial-like	K18169	Q6DKK2	TTC19	Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)	3.94931227915737	4.11684706031623	3.9658856313268	3.82176679199736	3.94818762502065	3.78658687177867	3.89848141581891
XM_005088787.2	0.597715898714774	NA	NA	XP_005088844.2	coiled-coil domain-containing protein 15-like	K16752	Q0P6D6	CCDC15	Coiled-coil domain-containing protein 15	1.9764495379994	2.0052560082346	2.06063204482223	1.94374758776966	2.07283359217554	2.17227039643255	2.015957845273
XM_005088788.2	0.0594059067660787	NA	NA	XP_005088845.1	ubiquitin-related modifier 1-like	K12161	Q9BTM9	URM1 C9orf74	Ubiquitin-related modifier 1	4.20382464380295	4.3891975111148	4.29267834889861	4.12011929465486	4.18618840931631	4.08916632328654	3.84370813217112
XM_005088789.2	2.15164972360594e-05	NA	NA	XP_005088846.1	pre-mRNA-splicing factor 38B-like	K12850	Q5VTL8	PRPF38B	Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27)	4.37317577116505	4.28442941372894	4.34415746184238	4.20851414550524	4.49836309402374	4.77994541021204	4.67547976900017
XM_013085605.1	0.70066161990325	NA	NA	XP_012941059.1	uncharacterized protein LOC106012495		Q9WJR5	ERVK-19	Endogenous retrovirus group K member 19 Pol protein (HERV-K(C19) Pol protein) (HERV-K_19q11 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49), Ribonuclease H (RNase H) (EC 3.1.26.4), Integrase (IN)]	1.72654135520154	1.93923159882509	1.83109303922888	2.00014962685055	1.77260448871435	1.93628000574164	1.87170033804349
XM_005088796.2	0.000211688817585087	P1	UP	XP_005088853.1	interferon regulatory factor 7-like		H3BQH6	IRF8	Interferon regulatory factor 8 (Fragment)	2.99982949688451	3.14926769950262	4.75193239094971	4.83688539558346	4.88830741196178	4.84896828057217	5.97718237795185
XM_005088797.2	0.306961457592048	NA	NA	XP_005088854.1	prostaglandin E synthase 2-like	K05309	Q9H7Z7	PTGES2 C9orf15 PGES2	Prostaglandin E synthase 2 (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) (EC 5.3.99.3) [Cleaved into: Prostaglandin E synthase 2 truncated form]	3.79105706853619	3.97825643219182	3.69046483913891	3.65247347067712	3.87712924917617	3.64345209055096	3.62543169335045
XM_005088798.2	0.0996621162763391	NA	NA	XP_005088855.2	ankyrin repeat domain-containing protein 45-like		Q5TZF3	ANKRD45	Ankyrin repeat domain-containing protein 45	1.3167804571158	1.30457083397635	1.74749219615559	1.25074339600652	1.69979983644214	1.39000257616767	1.62991179696639
XM_005088802.2	0.16351156851705	NA	NA	XP_005088859.1	kelch-like protein 20	K10457	Q9Y2M5	KLHL20 KLEIP KLHLX	Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X)	5.49523830074138	5.48940316190899	5.18565554773361	5.26288027438423	5.2124828899669	5.13538379987123	5.18360512359328
XM_005088805.2	0.0270703575431932	NA	NA	XP_005088862.1	HRAS-like suppressor 2	K16817	P53816	PLA2G16 HRASLS3 HREV107	HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	3.43401583599974	3.12901187004567	2.97447208693918	2.04976953776152	2.77222805136108	2.83317051551915	2.72161295306327
XM_005088804.2	0.291245335615089	NA	NA	XP_005088861.1	HRAS-like suppressor 2	K16817	P53816	PLA2G16 HRASLS3 HREV107	HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	1.79885826740003	2.84064056085416	3.82338443226536	4.46688521622505	3.98541439854272	4.62037438232805	4.02619811198114
XM_005088807.2	0.00770421210521426	NA	NA	XP_005088864.2	probable peptidyl-tRNA hydrolase	K01056	Q86Y79	PTRH1 C9orf115	Probable peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	4.64598100010208	4.52885630801775	4.69378288159489	4.42200529196163	5.09681440480284	4.66653873383911	5.19904121610723
XM_005088910.2	0.977783146546846	NA	NA	XP_005088967.1	uncharacterized protein C9orf117 homolog		Q5JU67	CFAP157 C9orf117	Cilia- and flagella-associated protein 157	1.27716019929263	1.18893799324453	1.23291953642678	1.0658493677363	1.24032705315212	1.08068342251291	1.15655484705456
XM_005088808.2	0.74562399794953	NA	NA	XP_005088865.1	rab9 effector protein with kelch motifs-like	K20285	Q7Z6M1	RABEPK RAB9P40	Rab9 effector protein with kelch motifs (40 kDa Rab9 effector protein) (p40)	2.63324803669026	2.80349465504811	2.48952408259569	2.54057708685544	2.26253620965152	2.59708102319379	2.2383448942473
XM_005088812.2	0.9353942714643	NA	NA	XP_005088869.1	uncharacterized protein LOC101855452		Q86UD0	SAPCD2 C9orf140	Suppressor APC domain-containing protein 2 (Tumor specificity and mitosis phase-dependent expression protein) (TS/MDEP) (p42.3)	2.7472331438879	2.36855632056019	2.34397435112415	2.3052324472196	2.39176634699605	2.30239790708362	2.36873022148863
XM_005088912.2	0.98913735005916	NA	NA	XP_005088969.1	serine/threonine-protein kinase Nek7-like	K20876	Q8TDX7	NEK7	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	1.69699211612582	1.8962344823182	1.86427263156778	1.64466277211907	1.83542850763796	1.68377043783635	1.67437669444331
XM_013079980.1	0.00076757139309703	P2	UP	XP_012935434.1	ATP-binding cassette sub-family A member 2-like	K05642	A0A087WXK5	ABCA2	ATP-binding cassette sub-family A member 2	2.31258837796085	2.21055569927532	2.24953271764664	2.32939576310065	2.58427582739289	2.58191999107093	2.8432996294214
XM_013080036.1	0.77185107431341	NA	NA	XP_012935490.1	kynurenine--oxoglutarate transaminase 3-like	K00816	Q6YP21	KYAT3 CCBL2 KAT3	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)	3.30317617293521	3.19293532343447	3.169636103988	3.237687614202	3.17936626217405	3.13109511845571	3.02767672400145
XM_013086846.1	6.95425710426964e-05	P2	UP	XP_012942300.1	transforming growth factor beta receptor type 3-like	K05843	Q03167	TGFBR3	Transforming growth factor beta receptor type 3 (TGF-beta receptor type 3) (TGFR-3) (Betaglycan) (Transforming growth factor beta receptor III) (TGF-beta receptor type III)	1.57905303210315	1.363174963469	1.47043895917487	1.644739323814	1.80060639060956	1.9874381746133	2.11499424398383
XM_013085752.1	0.421877926534875	NA	NA	XP_012941206.1	uncharacterized protein LOC101857841	K15322	Q8NCE0	TSEN2 SEN2	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2)	2.41582953883527	2.55973368985436	2.44019360416563	2.23293770604371	2.27845763667402	2.26435269206166	2.24631418391622
